"farm.id","type","size","long","lat"
1,"Fattening",354,6194008.7847562,567599.815074303
3,"Dairy",203,6181086.72378629,559118.663023982
2,"Fattening",250,6196089.5548941,562336.37327915
5,"Dairy",994,6207397.67655718,474646.442324063
15,"Dairy",544,6221094.47669537,413707.216186739
13,"Dairy",87,6205883.94793364,421178.521769399
23,"Small farm",2,6236371.66328755,418475.826982124
18,"Dairy",506,6219960.03070819,414742.643977465
29,"Fattening",718,6217397.78695917,443500.834484361
9,"Dairy",132,6206142.8864124,417299.258245147
4,"Breeding",154,6197752.66284285,467084.787676493
11,"Dairy",243,6202357.80769127,423249.402386463
35,"Dairy",29,6234862.05768036,473525.576627594
12,"Dairy",263,6208220.23022105,420586.663223614
6,"Fattening",400,6196000.89353169,472003.420217951
19,"Breeding",1148,6237385.87809717,403995.08155036
14,"Fattening",26,6203881.89388058,423992.156538363
17,"Breeding",44,6221143.16250047,404291.115655948
30,"Dairy",190,6211989.17550943,438654.908370346
20,"Dairy",2306,6236632.41130485,412243.220525559
28,"Dairy",408,6217558.45502235,424615.592335336
51,"Dairy",58,6439075.41700272,427117.167000741
64,"Fattening",1361,6452967.03588139,434409.375244265
57,"Breeding",489,6468110.06329482,412719.266044458
44,"Fattening",240,6287353.7651933,576691.537503147
46,"Dairy",128,6455957.00521334,444858.077322755
61,"Breeding",442,6495678.43907328,425724.286856274
48,"Breeding",19,NA,NA
45,"Breeding",38,6463610.79003379,430623.17297686
37,"Dairy",478,6275247.08462567,504169.483929259
40,"Fattening",1142,6261641.88406332,568280.084802481
41,"Dairy",280,6231566.2247509,600363.885353782
55,"Breeding",451,6423513.14325942,428186.321375503
38,"Fattening",154,6295118.70512474,520164.77852972
39,"Dairy",1039,6220975.6997517,560230.571202302
53,"Breeding",21,6421773.16306034,425291.379095858
63,"Breeding",987,6460994.23816152,474864.15849267
72,"Breeding",991,6429083.24918982,461875.560417017
111,"Dairy",39,6270606.96967251,450211.24205504
67,"Breeding",683,6430413.66481286,483787.419310267
70,"Complete cycle",994,6416631.31261389,449448.107060283
105,"Fattening",435,6262465.16666092,432472.481374801
119,"Fattening",198,6260991.8280423,467960.348052504
95,"Dairy",1056,6279773.97025015,435893.048696796
74,"Fattening",1503,6393041.94022387,413623.590589363
113,"Breeding",13,6268135.42163696,454185.386089728
91,"Fattening",466,6171286.92504014,527315.987339701
115,"Growing",451,6278992.88674825,445494.319410888
116,"Dairy",120,6267057.24357631,458423.345364682
96,"Dairy",266,6287122.4376133,427440.013680528
71,"Complete cycle",15,6432908.75912268,436982.841578513
86,"Dairy",170,6179926.16435126,522727.626904837
76,"Dairy",1832,6369886.16611926,450988.077828731
79,"Dairy",41,6364721.10872421,456719.97072846
110,"Fattening",493,6273923.38352529,448041.151939449
78,"Breeding",159,6400118.88125321,486055.695892253
104,"Dairy",111,6258694.13594337,449951.882966732
77,"Breeding",630,6408245.42328877,500737.686927998
60,"Fattening",302,6459932.43983416,406889.60574613
97,"Dairy",157,6284662.00344609,427875.470907676
85,"Dairy",146,6172444.70663806,522214.733922449
81,"Fattening",1006,6220153.14956687,512023.059666648
69,"Complete cycle",315,6422020.15448834,452891.177256673
66,"Breeding",512,6433063.52082704,487249.282448624
50,"Breeding",481,6417721.4376313,435711.70297881
43,"Dairy",416,6216677.25991921,588155.920214543
114,"Dairy",76,6277844.12037444,445533.769431691
73,"Fattening",1054,6394447.05993763,423922.427388547
8,"Fattening",133,6192352.38812152,423671.051632117
36,"Dairy",1605,6286928.3632337,492834.387509417
34,"Dairy",317,6243783.50823761,476404.014537284
27,"Dairy",91,6243018.00960438,431510.231378275
24,"Dairy",154,6245315.69983343,416204.963151961
32,"Complete cycle",430,6236730.8547649,461140.351822171
22,"Breeding",4,6238575.13562287,420485.75295565
10,"Fattening",1055,6204056.82073295,424516.285476338
7,"Fattening",64,6209314.68051739,412508.234438404
31,"Dairy",73,6201361.30420066,447718.296015585
65,"Fattening",720,6465490.1314416,463636.770718467
54,"Breeding",734,6427098.89703753,437056.189962115
42,"Dairy",71,NA,NA
58,"Fattening",385,6450260.3944672,418587.842792681
52,"Breeding",215,6427080.67462386,407485.456146916
99,"Breeding",19,6262247.80731822,454946.396293859
87,"Dairy",91,6168795.31279643,523549.779266326
90,"Breeding",120,NA,NA
84,"Breeding",20,6178997.60577963,527692.283538468
92,"Dairy",301,6170447.36994835,528876.080740254
112,"Dairy",125,6281874.34925646,464543.414836973
100,"Fattening",1403,6263898.95281491,462693.006016568
103,"Fattening",707,6258141.19242664,441095.000577599
75,"Dairy",758,6402323.13673529,399314.393002421
98,"Dairy",27,6257840.12536058,454341.750305788
83,"Dairy",9,6184405.48873483,504561.075217076
82,"Dairy",126,6202084.84208411,499375.603307225
108,"Dairy",87,6268390.43133107,447071.642423426
89,"Breeding",9,6177425.4485203,507014.999953912
88,"Breeding",932,6177411.88755464,523978.995414822
21,"Fattening",1467,6238082.78850321,421919.15744899
16,"Breeding",23,6224582.58446246,406614.594335944
47,"Fattening",359,6415793.42616011,414720.00166141
56,"Dairy",9,6420716.39602841,424839.802288421
120,"Dairy",106,6263008.27431,470390.902771481
68,"Fattening",222,6437746.80505811,488785.791555931
102,"Small farm",4,NA,NA
80,"Dairy",126,6356097.75418125,445010.945158795
117,"Breeding",18,6269749.60456536,450922.25941236
109,"Breeding",24,6275663.22964301,449762.550634396
93,"Dairy",1879,6160108.00341267,538431.763266503
106,"Fattening",271,6264359.87811985,428530.048127777
94,"Breeding",7,6175507.18744729,537913.746088333
26,"Fattening",50,6244290.25805777,435101.117015055
49,"Dairy",44,6418025.82732285,417769.194760407
107,"Breeding",12,6262006.1899155,454769.237563848
33,"Small farm",3,6245930.91107228,470262.395764038
25,"Fattening",2080,6242054.66757715,436050.708084542
62,"Complete cycle",287,6495158.23538336,420299.317474858
59,"Fattening",587,6472232.56437845,407484.874473774
118,"Fattening",20,6268972.03671524,456438.709938237
101,"Fattening",84,6266006.00599669,461244.906423315
